target,weight,seed,accuracy,elapsed
gate,0.0,42,80.42857142857143,1823.1567220687866
gate,0.0,44,65.57142857142857,1801.7348041534424
gate,0.0,51,89.42857142857143,1799.9792499542236
gate,0.0,55,83.71428571428572,1807.6051788330078
gate,0.0,65,83.57142857142857,1779.991436958313
gate,0.25,42,91.85714285714286,1790.865926027298
gate,0.25,44,73.57142857142858,1791.2442080974579
gate,0.25,51,96.85714285714285,1802.7751491069794
gate,0.25,55,98.28571428571429,1760.044851064682
gate,0.25,65,91.42857142857143,1720.9586181640625
gate,1.0,42,93.28571428571428,1702.898236989975
gate,1.0,44,76.71428571428571,1705.1054818630219
gate,1.0,51,98.14285714285714,1707.6127109527588
gate,1.0,55,96.28571428571429,1722.6960060596466
gate,1.0,65,91.0,1718.4253189563751
ac,0.0,42,80.42857142857143,1723.8956499099731
ac,0.0,44,65.57142857142857,1734.9002568721771
ac,0.0,51,89.42857142857143,1733.9167129993439
ac,0.0,55,83.71428571428572,1742.3310260772705
ac,0.0,65,83.57142857142857,1719.7640278339386
ac,0.25,42,86.14285714285714,1736.5227110385895
ac,0.25,44,74.0,1740.2650361061096
ac,0.25,51,96.42857142857143,1733.9814889431
ac,0.25,55,94.14285714285714,1739.049007177353
ac,0.25,65,87.28571428571429,1722.529193162918
ac,1.0,42,50.142857142857146,1744.2435810565948
ac,1.0,44,52.57142857142857,1727.6602020263672
ac,1.0,51,48.142857142857146,1705.2929978370667
ac,1.0,55,49.28571428571429,1728.7819950580597
ac,1.0,65,51.57142857142857,1700.2895970344543
